입찰공고명,공고기관명,기초금액,개찰일자,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
24-F-공본지역 임대프린터 용역,국군재정관리단,76710000,2024-01-11,67081610,87.746,2024-01-11,구자다,구자혜,구자혜,"인천광역시 강화군 강화읍 남문로41, 102동 1002호(남산리.미래지향아파트)"
00부대 사업장 생활폐기물 처리 용역,제6755부대,136000000,2024-01-11,114859630,84.355,2024-01-11,주식회사 정원,고득용,고득용,경상북도 문경시 신기공단1길22-21 (신기동)
24년 국외항공특송 수송용역,해군군수사령부,45000000,2024-01-11,39358000,88.223,2024-01-11,(주)성강로지스틱스,김재근,김임순,"서울특별시 중구 서소문로116, 1302호, 1303호 (서소문동)"
(23F265-A)24년 ~ 26년 정수기 임차용역,국군재정관리단,214429410,2024-01-11,187607590,87.745,2024-01-11,로템컴퍼니,최우준,최우준,"서울특별시 양천구 오목로23길38, 102호(신정동, 중앙빌라)"
24년 직할대 생활폐기물 처리용역,제1989부대,131911764,2024-01-12,111162400,84.382,2024-01-12,초당환경유한회사,박영남,최명환,전라남도 장성군 삼서면 옥산길9
24-M-얼음정수기 임차 용역,국군재정관리단,227080000,2024-01-12,201152990,87.76,2024-01-12,제이씨드림,김현구,김현구,울산광역시 울주군 온양읍 남창로944-2
24-M-음식물류 폐기물 위탁처리 용역,국군재정관리단,409200000,2024-01-15,330378980,80.733,2024-01-15,원진기업(주),이상수,이봉춘,경상북도 포항시 남구 오천읍 정몽주로624번길 10()
23-용-3 광주권 임대프린터 용역,공군제1전투비행단,48382352,2024-01-16,43428000,89.208,2024-01-16,(주)우정오에이,양근선,양근선,광주광역시 서구 내방로350번길2-0 (화정동) 2층
24년도 음식물류 폐기물 처리용역,공군제18전투비행단,82800000,2024-01-16,73090000,88.014,2024-01-16,강릉청소용역,홍현기,홍현기,"강원특별자치도 강릉시 강변로670번길16-0, 가동 1호(두산동)"
폐합성수지(폐염화비닐수지류제외) 위탁처리 용역,제2879부대,372000,2024-01-16,313705,84.279,2024-01-18,주식회사엘킹덤,김인혜,김인혜,경상남도 김해시 생림면 봉림리272
24년 음식물쓰레기 위탁처리 용역,제5군단사령부,163645350,2024-01-16,138124850,84.283,2024-01-16,사계절환경,최원희,최원희,"경기도 안산시 단원구 광덕2로50-3, 316호 (초지동)"
24년 음식물쓰레기 처리용역,제1보병사단,789819800,2024-01-16,635520980,80.501,2024-01-17,부자농장,김승규,김승규,경기도 연천군 미산면 동이리274-1
재고번호미입력품목,육군 52보병사단,170,2024-01-16,142,84.374,2024-01-16,천성환경,신정훈,김남경,경기도 부천시 부일로326-0 (중동) 2층 1-(722)호
24년 생활(폐합성수지류) 폐기물 처리,공군제18전투비행단,44705000,2024-01-17,39168160,88.646,2024-01-17,주식회사 다원에코,김민정,이명한,강원특별자치도 강릉시 과학단지로21번길59 (대전동)
