입찰공고명,공고기관명,기초금액,개찰일자,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
[24-육-18] C군지사 부대변천사 연구용역,육군본부,18174000,2024-02-26,18000000,98.179,2024-02-26,군수.획득연구소,조성호,조성호,"대전광역시 유성구 가정로43-0, 101동 903호 (신성동, 한울아파트)"
24-N-000사 조경관리 용역,국군재정관리단,105440000,2024-02-26,92867102,87.998,2024-02-26,주식회사청정티엠에스,인창환,인창환,"서울특별시 강북구 월계로21가길41, 상가동 201호, 202호(미아동, 미아한일유앤아이)"
24년 K200A1 장갑차 조종시뮬레이터 외주정비,육군기계화학교,117000000,2024-02-27,102600200,87.768,2024-02-27,주식회사 정엔지니어링,박정철,이수연,부산광역시 부산진구 성지곡로51번길 27(초읍동)
24년 TICN 제어장치 전원공급기 외주정비용역,제5378부대,152955000,2024-02-27,134679100,88.638,2024-02-27,(주)설텍,설창우,박기범,대구광역시 달서구 성서로324-0 (갈산동)
24년 유조 급수 살수차 외주정비용역(경기 서울 인천),제5378부대,150000000,2024-02-27,132745600,89.412,2024-02-27,주식회사 경기상용차서비스,권기종,권기종,경기도 양주시 칠봉산로251-15 (봉양동)
00훈련대 화장실(흡연부스) 관리 청소 용역(안양),육군 52보병사단,22365400,2024-02-27,19585260,88.002,2024-02-27,주식회사 하이스,전용기,전용기,경기도 안산시 단원구 풍전로37-9 (원곡동) 안산전문유통상가 3단지 지원상가 313동202호
00훈련대 화장실(흡연부스) 관리 청소 용역(서초),육군 52보병사단,31503000,2024-02-27,29770364,93.241,2024-02-27,주식회사 올바른환경,안형준,안형준,"서울특별시 강남구 논현로523, 비202호(역삼동, 노바빌딩)"
작계훈련 무기 등 수송 차량 임차(1권역),육군 52보병사단,26750000,2024-02-27,23472780,87.905,2024-02-27,삼진익스프레스 주식회사,정세미,정세미,경상북도 구미시 고아읍 원대로75-44
작계훈련 무기 등 수송 차량 임차(2권역),육군 52보병사단,31600000,2024-02-27,27587120,87.835,2024-02-27,주식회사 케이지비이엔지,고민희,고민희,"인천광역시 부평구 새벌로29, 209호 (청천동, 부평테크노타워)"
작계훈련 무기 등 수송 차량 임차(3권역),육군 52보병사단,29200000,2024-02-27,25491896,87.791,2024-02-27,주식회사 케이지비이엔지,고민희,고민희,"인천광역시 부평구 새벌로29, 209호 (청천동, 부평테크노타워)"
2024 한-유럽 · 아시아 방산협력 컨퍼런스 행사 ,방위사업청(운영지원과),0,2024-02-27,197000000,99.746,2024-03-10,주식회사 채널케이,이윤경,이윤경,"서울특별시 송파구 송파대로201, A동 8층 A-806,807호(문정동, 송파 테라타워2)"
(24G019-A) 외진셔틀버스 민간용역(서부권역),국군재정관리단,576000000,2024-02-27,524960000,90.835,2024-02-27,(주)굿버스 두레관광,이재찬,김민희,경기도 가평군 가평읍 보납로14 2층
(24G006-H)24~25년 교환기 유지보수 용역,국군재정관리단,1486951680,2024-02-27,1163293398,78.237,2024-02-27,티에스라인시스템 주식회사,최국현,박산근,"서울특별시 영등포구 영신로220-0, 805호, 806호, 403호(영등포동8가, KnK디지털타워)"
(24F033-A) 조경관리용역 ,국군재정관리단,171460700,2024-02-27,150805630,88.007,2024-02-27,경기조경 주식회사,김명선,장명애,경기도 수원시 팔달구 향교로73-0 (매산로3가) 201호
(23F018-B) 24년 일반화물 수송용역,국군재정관리단,321262850,2024-02-27,275377800,85.826,2024-02-27,대신로지스틱스 주식회사,양임석,백성열,"서울특별시 송파구 오금로46길5-0 (가락동, 보성빌딩) 3층"
24년 전차(사격 조종) 시뮬레이터 외주정비,육군기계화학교,1340300000,2024-02-28,1144000000,85.464,2024-02-28,(주)심네트,차진섭,이수빈,대전광역시 유성구 죽동로157-0 (죽동)
24년 표준 및 상용차량 외주정비용역(경기 서울 인천),제5378부대,190000000,2024-02-28,167545000,88.893,2024-02-28,주식회사 금강특장차,오세덕,김혜란,인천광역시 서구 북항로28-46 (원창동)
24년 구난차 등 3종 외주정비용역(강원),제5378부대,145000000,2024-02-28,127230250,87.901,2024-02-28,합자회사 순호자동차공업사,배경자,배경자,강원특별자치도 원주시 북원로2807-0(태장동)
24년 이동형 기상측정세트 외주정비용역,제5378부대,50000000,2024-02-28,44500000,89.234,2024-02-28,주식회사 와이케이앤텍,김유순,이선주,경기도 구리시 이문안로129번길19 (수택동)
박달훈련대 관제장비 유지보수 용역,육군 52보병사단,16134000,2024-02-28,14191870,87.79,2024-02-28,주식회사 일렉콤,정현영,정영순,"경상남도 창원시 마산회원구 자유무역3길177,1층,5층(양덕동,표준공장1호동)"
사무용기기(프린터 등) 임차 용역,국방시설본부,54676470,2024-02-28,47927893,87.954,2024-02-28,세진정보통신,김영숙,김동현,"경기도 광명시 하안로60,  C동 911,913호(소하동, 광명테크노파크)"
24-F-오폐수처리시설 관리용역,국군재정관리단,296120000,2024-02-28,253263998,86.053,2024-02-28,(주)영동엔지니어링,김억조,임연실,"부산광역시 사상구 백양대로 483, 대양빌딩4층(주례동)"
24-D-계룡대지역 방제용역,국군재정관리단,80490000,2024-02-28,70495716,87.772,2024-02-28,가온에코,노병남,노병남,"충청남도 서산시 안견로365-67, 1층 103호 (읍내동)"
24-N-함정  병영시설 전문방제 용역,국군재정관리단,3978810000,2024-02-28,3120340000,78.566,2024-02-28,(주)세스코,전찬혁,전두영,서울특별시 강동구 상일로10길46-0 (상일동)
24년 공지합동작전훈련지원체계 유지보수,공군 제8전투비행단,88460784,2024-02-29,77843230,88.103,2024-02-29,(주)인컴에스엔,강인식,강인식,"경기도 안양시 동안구 엘에스로 76(호계동, 안양 국제 유통단지)디오밸리 413호"
[24-육-22] A부대 지하형탄약고 사업타당성 조사 설계,육군본부,141899000,2024-02-29,140800000,99,2024-03-04,(주)에스코컨설턴트,박치면,현민,"서울특별시 서초구 반포대로14길 71, 엘지서초에클라트 2117호(서초동)"
[24-육-23] B부대 지하형탄약고 사업타당성 조사 설계,육군본부,141899000,2024-02-29,140800000,99.477,2024-03-04,(주)에스코컨설턴트,박치면,현민,"서울특별시 서초구 반포대로14길 71, 엘지서초에클라트 2117호(서초동)"
24년 부식  쉘터차량 외주정비 용역(경기 북부),제5378부대,165000000,2024-02-29,146020200,89.069,2024-02-29,주식회사 경기상용차서비스,권기종,권기종,경기도 양주시 칠봉산로251-15 (봉양동)
24년 부식  쉘터차량 외주정비 용역(강원),제5378부대,140000000,2024-02-29,133500000,95.542,2024-02-29,016자동차공업사,안종근,안종근,강원특별자치도 원주시 흥양로102번길3 (태장동)
24년 부식 및 쉘터차량 외주정비용역(경기 서울 인천),제5378부대,56900000,2024-02-29,52568000,91.929,2024-02-29,주식회사 금강특장차,오세덕,김혜란,인천광역시 서구 북항로28-46 (원창동)
’24년 음식물류폐기물 위탁처리 용역(24-GS-5),제2307부대,104970000,2024-02-29,88904000,84.34,2024-02-29,리더,한재석,한재석,강원도 횡성군 강림면 강림서길41-0
53사단 125-4대대 간부숙소신축 건축감리(비상주)용역,육군제53보병사단,51487000,2024-02-29,45226960,87.75,2024-03-01,수만채건축사사무소,김재삼,김재삼,부산광역시 동구 고관로100-1 (수정동) 외 1필지
24년 M2 장간조립교 외주정비 용역,제6335부대,80746530,2024-02-29,70629700,87.758,2024-02-29,주식회사 룩스그린,김권호,김성웅,경기도 화성시 서신면 화남공단로114-13
서초훈련대 교전장비 유지보수 용역,육군 52보병사단,96273000,2024-02-29,84400200,87.756,2024-02-29,(주)두손씨에스티,최수경,이숙원,서울특별시 금천구 벚꽃로234 에이스하이엔드6차 1001호
박달훈련대 교전장비 유지보수 용역,육군 52보병사단,96273000,2024-02-29,85249670,88.137,2024-02-29,(주)네스랩,이재호,홍성혜,대전광역시 유성구 테크노2로 194()
24년 승강기 관리용역(경기권),국군의무사령부,25043020,2024-02-29,21917700,88.279,2024-02-29,디케이이엘에스(주),이헌용,이헌용,"경기도 시흥시 승지로60번길17, 704호 (능곡동, 현대프라자)"
24년 승강기 관리용역(서울지구병원),국군의무사령부,9055200,2024-02-29,8518400,93.45,2024-02-29,경일엘리베이터 주식회사,이대호,이솔지,"서울특별시 금천구 가산디지털2로43-14, 12층 1214~1216호 (가산동, 가산한화비즈메트로2차)"
24년 승강기 관리용역(국군대구병원),국군의무사령부,7546000,2024-02-29,6660300,87.963,2024-02-29,바론엘리베이터 주식회사,김승기,김은지,"경상북도 구미시 산동면 신당1로24, 306호(바젤파크시티)"
24년 승강기 관리용역(국군함평병원),국군의무사령부,11103400,2024-02-29,9730000,87.778,2024-02-29,(주)삼성엘리베이터,김영래,최신영,전라남도 순천시 서면 백강로801
군 전용철도 예초용역(2철도대),국군수송사령부,90060784,2024-02-29,79136000,87.747,2024-02-29,주식회사수민건설,이영란,이영란,"경상남도 밀양시 밀성로3길20, 2층(내이동)"
군 전용철도 예초용역(1철도대),국군수송사령부,72552941,2024-02-29,64216700,87.746,2024-02-29,주식회사 동백엘앤씨,이진숙,이진숙,경기도 성남시 분당구 수내로54-0 (수내동) 보보스쉐르빌 1312
군 전용철도 예초용역(3철도대),국군수송사령부,107112745,2024-02-29,93619900,87.758,2024-02-29,주식회사 금오종합건설,정현순,정현순,"전북특별자치도 진안군 진안읍 진장로21, 3층"
해성-I 창정비요소개발 사업 비용분석,방위사업청(운영지원과),0,2024-02-29,27000000,90,2024-04-21,사단법인 한국기업연구원,이승후,이영은,"서울특별시 강남구 도산대로 507, 대신빌딩205호(청담동)"
(24G037-I)24년 의료기관종사자 잠복결핵 검진위탁,국군재정관리단,63911764,2024-02-29,56127000,88.155,2024-03-05,의료법인 녹십자의료재단,이상곤,장상화,경기도 용인시 기흥구 이현로30번길 107()
(24F057-A) 유류중대 급유검사 위탁용역,국군재정관리단,114993550,2024-02-29,101235000,87.99,2024-02-29,프라임방재주식회사,김회택,차민규,"서울특별시 강서구 허준로 217, 가양테크노타운 908호(가양동)"
(24G005-H)24년 MW EMS 유지보수 용역,국군재정관리단,170210780,2024-02-29,151215953,87.889,2024-02-29,(주)조흥테크,박희용,박희용,"전라남도 강진군 강진읍 영랑로24, 3층"
2024 국군수도병원 유해환경근로자 특수건강진단 용역,국군수도병원,17073942,2024-03-04,15296858,89.139,2024-03-05,다인병원,황장회,김재석,경기도 수원시 장안구 창룡대로159-0 (연무동)
24-덕-정신전력 영상교재 제작 용역,제9691부대,49670000,2024-03-04,31000000,62.194,2024-03-05,주식회사 단군픽쳐스,조상환,조상환,"서울특별시 강서구 금낭화로51, 3층(방화동)"
24년 근거리감시레이더 외주정비 용역,제5378부대,320000000,2024-03-05,275000000,85.754,2024-03-05,주식회사 에스코넥,박순관,김영곤,경기도 광주시 오포읍 마루들길172번길 30
24년 사단 음식물쓰레기 위탁처리 용역 계약,제32보병사단,114441000,2024-03-05,96401179,84.766,2024-03-05,주식회사 시온환경,송미자,송미자,충청남도 논산시 강변로308번길62-0 (부창동)  103호
24년 4~12월 예비군훈련 병력수송 임차용역(1권역),제5708부대,260000000,2024-03-05,258800000,99.031,2024-03-05,(주)하나트레블,임병식,박종선,경기도 김포시 양촌읍 양곡4로139 나-104
24년 과학화경계시스템 외주정비 용역(경기권),제1891부대,63725490,2024-03-05,55657150,87.782,2024-03-05,다산정보통신(주),구성철,구성철,"경기도 남양주시 화도읍 소래비로13번길43-1 ,2층"
24년 과학화경계시스템 외주정비 용역(강원권),제1891부대,63725490,2024-03-05,56079706,87.759,2024-03-05,주식회사 이원네트웍스,원춘식,이병찬,강원특별자치도 원주시 판부면 서곡널다리길45-0
24년 과학화경계시스템 외주정비 용역(충청권),제1891부대,63725490,2024-03-05,55736051,87.884,2024-03-05,주식회사 대산정보통신,양순정,박희삼,"충청북도 영동군 영동읍 기골로7, 101동 102호(서한감고을아파트)"
24년 과학화경계시스템 외주정비 용역(경상권),제1891부대,63725490,2024-03-05,56223500,87.801,2024-03-05,제일정보통신 주식회사,송원호,송원호,경상북도 구미시 화신로60-0 (광평동)
24년 과학화경계시스템 외주정비 용역(전라권),제1891부대,34313725,2024-03-05,29910130,87.869,2024-03-05,주식회사 빛을 꿈꾸는 사람들,김상희,김종욱,"전라남도 여수시 대통로47-1,2층(화장동)"
2024 방산기술보호 컨퍼런스 행사 시행,방위사업청(운영지원과),0,2024-03-05,201000000,99.504,2024-03-31,주식회사 채널케이,이윤경,이윤경,"서울특별시 송파구 송파대로201, A동 8층 A-806,807호(문정동, 송파 테라타워2)"
방위사업 원가계산 외부용역(2차) ,방위사업청(운영지원과),0,2024-03-05,919000000,79.949,2024-03-25,서현회계법인,배홍기,김해리,"서울특별시 강남구 테헤란로440, 서관 3층(대치동, 포스코센터)"
24-J-얼음냉온정수기 임차 용역,제9해병여단,118805400,2024-03-05,112950000,95.047,2024-03-05,루에리상사,김병훈,김병훈,"제주특별자치도 제주시 조천읍 신촌4길6, 301동 501호"
해병대 리더십 역량 진단 시스템 개발 연구,제9691부대,30304000,2024-03-05,29100000,95.657,2024-03-05,(사)한국능률협회,최권석,이병훈,"서울특별시 영등포구 의사당대로22, 8층 9층 10층(여의도동, 이룸센터)"
마린온 4차 성과기반군수지원(PBL) 사업타당성 조사,제9691부대,44314761,2024-03-05,27900000,62.98,2024-03-05,주식회사 베테랑콤,이재평,이재평,서울특별시 서초구 서초동1432-13 202
해병대 역사관 활용 방안 연구,제9691부대,43980000,2024-03-05,38515000,88.413,2024-03-05,한디자인그룹주식회사,신정희,신정희,서울특별시 강남구 학동로42길69-0 (논현동) 2층
(24G029-B)24년 전반기 인원수송 버스임차 용역,국군재정관리단,268245090,2024-03-05,240680000,90.276,2024-03-05,(주)한남관광개발,이자영,강성욱,"서울특별시 강서구 마곡중앙2로35, 722호 (마곡동, 이너매스마곡2)"
(24F047-A) 음식물류 폐기물 위탁처리 용역,국군재정관리단,239121560,2024-03-05,192534790,80.512,2024-03-05,아라환경,이석재,이석재,강원특별자치도 홍천군 홍천읍 영서로1981-0
24년 생도용 노트북렌탈 용역,육군3사관학교,176400000,2024-03-06,155169130,88.444,2024-03-06,주식회사에스,김미연,최정민,경상남도 창원시 의창구 북면 동전로154-0  2F
[24-C2] 24년 음식물류 폐기물 처리용역 계약,제3007부대,398340000,2024-03-06,326618000,81.004,2024-03-06,리더,한재석,한재석,강원도 횡성군 강림면 강림서길41-0
2024 국방정책 홍보역량 강화교육,국방부(운영지원과),0,2024-03-06,53900000,98,2024-03-26,한국생산성본부,안완기,박성진,서울특별시 종로구 새문안로5가길 32(적선동)
24-N-상륙군장비수송선 등 8척 임차 용역 ,국군재정관리단,1442840000,2024-03-06,1191680000,82.061,2024-03-06,씨제이대한통운 주식회사,신영수,정성욱,"서울특별시 종로구 종로5길7, Tower 8"
얼음정수기 임차 계약,공군제18전투비행단,86823000,2024-03-07,76210035,87.89,2024-03-07,한국렌탈판매협동조합,정영이,정영이,"인천광역시 미추홀구 아암대로45번길77-8, 1층(용현동)"
터빈엔진시험셋 외주정비 용역,제2879부대,31551000,2024-03-07,27735000,88.101,2024-03-07,주식회사 이알시스템,이창우,이창우,충청북도 청주시 청원구 내수읍 은곡길72-55
24-교-병영식당 민간위탁 급식 용역,제3283부대,0,2024-03-07,33689500000,100,2024-03-22,주식회사 풀무원푸드앤컬처,이동훈,배유경,서울특별시 송파구 송파대로34길29(송파동)
(24F003-G)24~25년 워게임모델 장비정비 유지보수용역,국군재정관리단,338191457,2024-03-07,291986000,85.809,2024-03-07,(주) 네오인아이텍,이경미,박수진,"서울특별시 금천구 벚꽃로234, 1001-2호 (가산동, 에이스하이엔드6차)"
(24G028-I) 6.25 전사자 유가족 유전자검사 외부위탁,국군재정관리단,2908599451,2024-03-08,2262080000,78.044,2024-03-08,(주)디엔에이링크,심철구,이민경,"서울특별시 강서구 마곡중앙8로3길31(마곡동, ASSA빌딩)"
(24G009-H)24년 학교교실디지털화 유지보수 용역,국군재정관리단,75258110,2024-03-08,66052730,87.815,2024-03-08,(주)더원정보,이태훈,정인수,"대구광역시 달성군 다사읍 대실역남로2길2-11, 1층"
(24F022-I) 24년 중요 역사기록물 복원사업,국군재정관리단,926452250,2024-03-08,805980000,86.359,2024-03-08,(주)엔가드,김은숙,황정은,경기도 안성시 무어산길125-25 (대덕면)
[일반-24-18] '24년 전파차단장비 외주정비용역,수도방위사령부,97910000,2024-03-12,95950000,97.943,2024-03-12,주식회사 씨엔테크,김훈석,김훈석,"경기도 김포시 양촌읍 황금로117, 이젠테크노존 가동 411호"
24년 구난차 등3종 외주정비용역(경기  서울  인천),제5378부대,315000000,2024-03-12,279844200,88.251,2024-03-12,주식회사 경기상용차서비스,권기종,권기종,경기도 양주시 칠봉산로251-15 (봉양동)
24년 통합 상황관리시스템 외주정비 용역,제5378부대,126979490,2024-03-12,110808585,87.749,2024-03-12,주식회사 넷,김주형,김주형,"경기도 부천시 원미구 평천로655, 401동 7층 703호(약대동, 부천테크노파크4단지)"
24년 과학화훈련장 교전훈련장비 유지보수,제5019부대,143720440,2024-03-12,126827000,88.18,2024-03-12,(주)유텍,황인협,박범하,"대전광역시 유성구 반석로10-0 (반석동, 반석역프라자) 8층 801호"
24년 과학화훈련장 훈련관리체계 및관제장비 유지보수,제5019부대,86662570,2024-03-12,75682393,87.777,2024-03-12,주식회사 에스씨티,서창성,김성섭,부산광역시 해운대구 센텀북대로60-0 (재송동) 센텀IS타워 1809호
24-활주로 제초관리,공군제18전투비행단,162623330,2024-03-13,142943412,87.749,2024-03-13,합자회사그린파워,차재명,차재명,"강원특별자치도 고성군 간성읍 수성로16번길2-0, 1층"
[일반-24-19] '24년 과학화경계시스템(CCTV) 외주정비,수도방위사령부,145320000,2024-03-13,128351500,87.747,2024-03-13,주식회사 루트웰,노덕권,노덕권,서울특별시 영등포구 영등포로103 (당산동2가) 하나비즈타워 603호
24년 통신장비 외주정비 용역(광주/전남·북),제6335부대,6129610,2024-03-13,5405662,87.772,2024-03-13,케이에스원 주식회사,김형욱,김형욱,광주광역시 서구 금화로283-0 (화정동)
24년 통신장비 외주정비 용역(대전/충남·북/세종),제6335부대,5233100,2024-03-13,4572498,88.003,2024-03-13,주식회사 명품시스템,이명아,배선숙,대전광역시 서구 계룡로408-0 (갈마동)
24년 통신장비 외주정비 용역(대구/경북),제6335부대,2604340,2024-03-13,2285600,87.944,2024-03-13,주식회사 태원전기통신,설인호,박영민,경상북도 포항시 북구 용당로54-1 (용흥동)
24년 취사장 청소 용역,제25보병사단,93100000,2024-03-13,82135180,87.995,2024-03-13,(주)그린바이오,이상필,오세희,경기도 용인시 처인구 지삼로590-0 (삼가동) 씨엠씨빌딩 305호
2024년 물탱크 청소 용역,국군수도병원,8330000,2024-03-13,7324600,87.766,2024-03-13,(주)청호종합관리,이은규,이병주,경기도 고양시 덕양구 은빛로77번길9 (화정동)
재고번호미입력품목,국군의무사령부,1470,2024-03-13,1320,89.84,2024-03-13,주식회사 에코엠,김 찬,김찬,경기도 동두천시 상패동미동길 11-8
재고번호미입력품목,국군의무사령부,1960,2024-03-13,1870,94.69,2024-03-13,주식회사 지엘,김세곤,김세곤,경상북도 경산시 자인면 공단로110-24
재고번호미입력품목,국군의무사령부,1617,2024-03-13,1360,84.474,2024-03-13,화이트스톤,김화옥,김형준,"경기도 김포시 김포한강11로300, 317호 (운양동)"
재고번호미입력품목,국군의무사령부,2450,2024-03-13,2082,84.833,2024-03-13,주식회사 광주삼우그린,박준용,박준용,광주광역시 서구 무진대로499-0 (덕흥동)
재고번호미입력품목,국군의무사령부,2352,2024-03-13,1987,84.313,2024-03-13,주식회사 샬롬환경,김윤섭,이현주,강원도 춘천시 동내면 학곡서3길20-38
재고번호미입력품목,국군의무사령부,2450,2024-03-13,2066,84.314,2024-03-13,리뉴로지스 주식회사,박재욱,안승우,경기도 용인시 처인구 남사읍 경기동로491-5
재고번호미입력품목,국군의무사령부,2940,2024-03-13,2491,85.184,2024-03-13,서울의료공사,이상수,박은진,경기도 김포시 대곶면 상마신기로81-14
교육훈련용 전단 인쇄 용역,제9912부대,23461200,2024-03-13,20684098,87.996,2024-03-15,주식회사 세창,김영진,김영진,"서울특별시 서대문구 충정로53, 1401호, 1402호(충정로2가, 골든타워빌딩)"
장거리지대공유도무기 양산 시설사업기본계획,방위사업청(운영지원과),0,2024-03-13,38000000,95,2024-04-15,(주)에프오알엠도시건축공간연구소,권시형,양진,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
24-D-남수단 한빛부대 17·18진 교대 항공수송 용역,국군재정관리단,1994000000,2024-03-13,1907000000,95.101,2024-03-13,주식회사 대한항공,우기홍,염찬주,서울특별시 강서구 하늘길 260대한항공 항공우주사업본부
24년 전투발전 연구 용역(1),육군교육사령부,43212000,2024-03-14,35900000,82.325,2024-03-15,(사)한국전략문제연구소,박정기,박병희,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
24년 표준 및 상용차량 외주정비용역(강원),제5378부대,110000000,2024-03-14,96953838,87.872,2024-03-14,석화자동차공업(주),김영성,김영성,강원특별자치도 홍천군 홍천읍 마지기로187-0
24년 전기안전관리 대행 용역,제25보병사단,60431140,2024-03-14,53650473,88.181,2024-03-14,주식회사 디케이이엔지,김선태,김선태,"경기도 포천시 소흘읍 초가팔로49-19, 2층"
24-26-해병-IP교환기 유지보수 용역,제9691부대,610738350,2024-03-14,567986100,91.807,2024-03-14,대신정보기술 주식회사,이광호,서인영,서울특별시 송파구 송파대로167 테라타워 B동 413호
24-D-남수단한빛부대 17 18진교대 항공수송용역(3국적,국군재정관리단,909350000,2024-03-14,761000000,83.067,2024-03-14,다산상선 주식회사,전종진,김영철,"서울특별시 종로구 삼일대로32길36, 302호(익선동, 운현신화타워)"
(24F068-B) 전세 항공수송용역(한미 연합 소부대훈련),국군재정관리단,2047401960,2024-03-14,1790000000,87.199,2024-03-14,아시아나항공(주),원유석,문준호,서울특별시 강서구 오정로 443-83아시아나항공 경영지원팀
(24F060-B)예비군훈련장 제초용역,국군재정관리단,60426840,2024-03-14,53326050,88.005,2024-03-14,주식회사 드림비,심인택,이정애,경기도 수원시 팔달구 매산로151번길5-0 (중동)
(24F031-I) 24년 육로 수송용역(특수화물),국군재정관리단,1484748039,2024-03-14,1169146314,78.431,2024-03-14,대신로지스틱스 주식회사,양임석,백성열,"서울특별시 송파구 오금로46길5-0 (가락동, 보성빌딩) 3층"
24-D-자운대지역 조경관리 용역,국군재정관리단,1391000000,2024-03-14,1227509900,88.003,2024-03-14,주식회사 그린솔루션조경,이범희,이미란,"서울특별시 송파구 올림픽로35가길10,A동613호 (신천동, 잠실 더샵스타파크)"
(용-009)'24년 취사장 관리 용역,제1862부대,91176470,2024-03-15,80166460,87.995,2024-03-15,주식회사 쌍마로지스,조희성,조희성,대전광역시 유성구 원계산로194-1 (계산동) 제2동
(24F004-G) 24년 항공전술 시뮬레이터 유지보수용역,국군재정관리단,96057740,2024-03-15,84463370,87.966,2024-03-15,주식회사 케이티엔티,오성근,원진아,대전광역시 유성구 장대로95 (장대동) KT유성빌딩 3층
24-활주로 제초용역,제20전투비행단,311076470,2024-03-18,274928220,87.995,2024-03-19,(주)태영기업,문순금,허순영,경상북도 성주군 선남면 선노로737-4
KJCCS 경미한 성능개량 사업 비용분석,방위사업청(운영지원과),0,2024-03-18,28500000,95,2024-04-21,주식회사 비용관리연구원,나인성,나인성,경기도 의왕시 오봉산단3로25 (삼동) 의왕테크노파크 더리브비즈원 1동1528호
24-D-자운대지역 방제용역,국군재정관리단,191420000,2024-03-18,169680000,87.885,2024-03-18,다인비엠씨 주식회사,최광호,홍하얀,"대전광역시 중구 서문로128, A동 802호 (문화동, 글꽃프라자)"
24-N-00창 예초용역,국군재정관리단,205870000,2024-03-18,180806940,87.996,2024-03-18,주식회사 우솔,유순천,유홍,"강원특별자치도 철원군 갈말읍 명성로240, 나동 102호"
24-F-중요기록물 DB 구축,국군재정관리단,622010000,2024-03-18,519246000,83.028,2024-03-18,주식회사 쇼우테크,김상우,김상헌,"부산광역시 연제구 반송로30-0 (연산동), 3층"
24-M-조경관리 용역,국군재정관리단,106650000,2024-03-18,94533690,88.035,2024-03-18,주식회사 현성조경,최수환,구혜리,"경기도 안산시 단원구 광덕2로163-11, 405-2호 (고잔동,21세기빌딩)"
24~28-D-업무용 차량 임차 용역,국군재정관리단,3303900000,2024-03-18,2648606400,79.724,2024-03-18,현대캐피탈(주),정형진,이진화,서울특별시 중구 세종대로14(남대문로5가)
24-N-육로화물 민간 수송 용역,국군재정관리단,108520000,2024-03-18,96160750,87.916,2024-03-18,승원익스프레스,김진성,김진성,서울특별시 강서구 곰달래로60길33-0 (화곡동) 2층
24~'25 E-737 지상지원체계 유지보수,공군군수사령부,250391950,2024-03-19,215250000,86.216,2024-03-19,(주)이엔씨테크,이종희,이은경,충청북도 청주시 흥덕구 2순환로742번길2 (화계동)
24년 사천기지 일반지역 제초,제3훈련비행단,142778088,2024-03-19,124848400,87.756,2024-03-19,그린포레 주식회사,이승배,이승배,"경상남도 함안군 가야읍 가야15길24, 상가동 302호(남경타운)"
24년 라인지역 제초 유지관리 용역,공군제19전투비행단,332404300,2024-03-19,284673000,85.506,2024-03-19,주식회사 명장건설,박민창,박종환,"충청북도 괴산군 청안면 광장로594, 제비동호"
미-24-제초관리용역1(대천),공군미사일방어사령부,46409000,2024-03-19,40782346,88.002,2024-03-19,(주)한국자연표본연구소,유선남,유선남,"충청남도 공주시 의당면 의당로350, 2층 201호"
미-24-제초관리용역2(진천),공군미사일방어사령부,23549000,2024-03-19,20529685,88.14,2024-03-19,주식회사 아토,한순임,노창현,충청북도 충주시 주덕읍 당우리길413-41
24년 정수기 임차용역,수도기계화보병사단,184680000,2024-03-19,162518400,87.775,2024-03-20,주식회사 디와이매직,정대영,정대영,"서울특별시 구로구 고척로27길81, 1층(개봉동, 에스케이매직)"
2024년 바세나르체제 군용물자목록 개정소요 연구,방위사업청(운영지원과),0,2024-03-19,59070000,98.45,2024-04-21,무역안보관리원,서정민,원해나,"서울특별시 강남구 영동대로511, 16층(무역센터 트레이드 타워)"
함정적기전력화를 위한 시운전제도 개선방안 연구,방위사업청(운영지원과),0,2024-03-19,51500000,99.382,2024-04-15,서울대학교 산학협력단,김재영,남명우,서울특별시 관악구 관악로1 (신림동)
24년 수사장비 유지보수 용역,국방부조사본부,47818000,2024-03-19,42141500,87.766,2024-03-20,주식회사 루트웰,노덕권,노덕권,서울특별시 영등포구 영등포로103 (당산동2가) 하나비즈타워 603호
(24G004-H)24년 전산장비 유지보수 용역,국군재정관리단,103127610,2024-03-19,89787022,87.88,2024-03-19,소성정보기술 주식회사,김금남,김희영,서울특별시 구로구 공원로11길 33(구로동)
24-POL 제초용역,제20전투비행단,44117647,2024-03-20,39227434,88.027,2024-03-20,주식회사 미래파크,하종근,하종근,대구광역시 북구 검단동로17-15 (검단동)
24년 전투실험발전 연구 용역(1),육군교육사령부,47000000,2024-03-20,33900000,71.93,2024-03-27,(사)한국전략문제연구소,박정기,박병희,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
K계열 패드정비기 외주정비 용역,제2879부대,53423000,2024-03-20,47080000,88.052,2024-03-20,정현테크,이인환,이인환,부산광역시 강서구 대저2동2493
24년 오수처리시설 방류수 수질검사 용역,제6619부대,37804902,2024-03-20,33166400,87.771,2024-03-20,영진환경산업(주),하은용,하재민,"경기도 수원시 권선구 매송고색로634-21 (고색동, 영진환경산업(주))"
24년 토양오염도검사 용역,제6619부대,30138235,2024-03-20,26502500,87.772,2024-03-20,재단법인 케이라인환경기술원,이현채,이현채,광주광역시 광산구 평동금곡길39(연산동)
